PID,Name,Memory_kB
2446,brave,625900
3273,brave,552472
5567,brave,423068
2595,brave,348896
3607,code,318020
3004,brave,314484
11198,soffice.bin,296512
1204,Xorg,256924
3187,brave,220648
3786,brave,214148
3594,brave,200452
3859,brave,192552
2674,brave,191012
3370,brave,181624
3437,brave,181056
3318,brave,175900
3383,brave,175680
3625,code,173000
3157,brave,168484
5486,brave,163060
5528,brave,152844
3509,brave,145148
2724,brave,140544
4225,brave,138484
3708,code,136796
11410,cpptools-srv,128496
1808,cinnamon,108908
4244,brave,107640
4908,brave,91476
2932,brave,90296
3522,code,86608
2513,brave,85612
3893,cpptools,85512
3259,brave,82036
5732,brave,78864
5518,brave,77120
2972,brave,73272
3248,brave,68512
4268,brave,66404
4932,brave,65336
2518,brave,58108
3575,code,52072
5052,nemo,46504
11160,brave,45252
1578,csd-background,43820
5136,gnome-system-mo,41704
3702,code,41548
1323,pipewire-pulse,41228
1880,nemo-desktop,39892
2659,mintUpdate,39720
3701,code,36796
2577,brave,35788
3748,code,35184
4205,gnome-terminal-,30904
3703,code,30552
3940,code,30148
3291,brave,29436
1884,blueman-applet,27708
3331,mintreport-tray,25272
3579,code,23908
1893,evolution-alarm,21152
1599,csd-media-keys,20624
2154,blueman-tray,19700
1851,xapp-sn-watcher,19700
1573,csd-clipboard,19588
1568,csd-xsettings,19264
2486,brave,19072
1595,csd-power,18812
1582,csd-color,18776
1771,cinnamon-launch,18544
1570,csd-keyboard,18340
1584,csd-housekeepin,18208
1576,csd-wacom,17932
1567,csd-automount,17820
3527,code,17792
2406,xdg-desktop-por,17148
3526,code,16640
1874,nvidia-prime,16632
1889,cinnamon-killer,16128
1999,evolution-sourc,15488
2470,brave,14976
1782,goa-daemon,14720
1320,pipewire,14676
3045,applet.py,14444
994,NetworkManager,14164
2193,evolution-addre,13824
2451,flatpak-portal,13696
1322,wireplumber,13416
2378,xdg-desktop-por,12760
1844,csd-printer,12288
1324,cinnamon-sessio,11904
1881,cups-browsed,11904
903,touchegg,11776
2156,evolution-calen,11008
1575,csd-print-notif,9344
1176,cupsd,9216
1736,colord,9108
1,systemd,8900
1732,gvfs-udisks2-vo,8704
905,udisksd,8624
1745,upowerd,8192
1296,systemd,7936
1562,gnome-keyring-d,7936
5175,gvfsd-dnssd,7680
5159,gvfsd-network,7552
889,polkitd,7460
2326,gvfsd-trash,7424
1798,goa-identity-se,7296
440,systemd-journal,7288
893,power-profiles-,7208
1591,at-spi-bus-laun,7168
803,systemd-resolve,7168
1726,at-spi2-registr,7168
1665,gvfsd,7040
833,accounts-daemon,6972
1279,lightdm,6912
1026,ModemManager,6908
1749,gvfs-afc-volume,6656
1772,gvfs-mtp-volume,6528
11182,oosplash,6528
2341,gvfsd-metadata,6400
2383,xdg-document-po,6400
898,switcheroo-cont,6400
2432,flatpak-session,6400
1709,gvfsd-fuse,6272
2397,xdg-desktop-por,6272
478,systemd-udevd,6212
1190,lightdm,6212
2150,obexd,6016
2623,p11-kit-remote,5944
1761,gvfs-gphoto2-vo,5888
1589,csd-a11y-settin,5888
1777,gvfs-goa-volume,5888
806,systemd-timesyn,5760
1013,wpa_supplicant,5760
1608,dconf-service,5760
1882,agent,5760
1569,csd-settings-re,5632
2387,xdg-permission-,5632
900,systemd-logind,5556
1191,dbus,5504
859,dbus-daemon,5504
1583,csd-screensaver,5248
2441,xdg-dbus-proxy,5248
1334,dbus-daemon,5120
4213,bash,4992
1321,pipewire,4608
855,bluetoothd,4480
1606,dbus-daemon,4352
3529,code,4336
853,avahi-daemon,3968
11528,procmon,3840
990,rsyslogd,3840
868,irqbalance,3712
1347,rtkit-daemon,3328
857,cron,2688
3553,chrome_crashpad,2560
1904,kerneloops,2204
1302,(sd-pam),2048
1207,agetty,1920
2394,fusermount3,1920
2427,bwrap,1792
2463,chrome_crashpad,1792
2440,bwrap,1792
2476,bwrap,1792
1024,nvidia-persiste,1672
1897,kerneloops,1672
2445,bwrap,1280
2485,bwrap,1280
2465,chrome_crashpad,1152
974,avahi-daemon,1032
2475,cat,1024
2474,cat,1024
2437,p11-kit-server,684
